code_name,name,buy,sell,market_cap,volume,change
BTC,Bitcoin,15198.61,15090.32,28060000000,440000000,0.39%
ETH,Ethereum,504.63,492.83,567000000,210000000,-0.57%
XRP,XRP (Ripple),0.358785,0.349965,1580000000,2823000000,-0.01%
BNB,BNB,40.69,39.70,580000000,22830000000,-2.03%
BCH,Bitcoin Cash,316.61,308.88,570000000,329400000,-0.50%
DOT,Polkadot,5.9304,5.7833,53000000,147300000,-1.65%
LINK,ChainLink,13.7056,13.3658,4700000000,394200000,0.21%
CRO,Crypto.com Coin (CRO),0.214876,0.208772,43000000,72700000,0.37%
ADA,Cardano,0.139046,0.135310,420000000,1296000000,-1.57%
